2025-11-03 01:35:06 | Temp: 46°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_013546.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 01:40:05 | Temp: 46°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_014040.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 01:45:05 | Temp: 46°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_014537.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 01:50:06 | Temp: 46°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_015041.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 01:55:06 | Temp: 46°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_015542.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 02:00:05 | Temp: 46°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_020034.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 02:05:06 | Temp: 46°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_020542.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 02:10:06 | Temp: 46°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_021039.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 02:15:06 | Temp: 44°F | Battery: ok | WiFi: 4/5 | Image: garage-door_20251103_021537.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 02:20:06 | Temp: 44°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_022036.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 02:25:06 | Temp: 44°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_022538.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 02:30:05 | Temp: 44°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_023038.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
