2025-11-02 21:15:05 | Temp: 53°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_211531.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 21:20:05 | Temp: 53°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_212028.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 21:25:06 | Temp: 53°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_212530.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 21:30:05 | Temp: 53°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_213032.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 21:35:06 | Temp: 53°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_213529.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 21:40:05 | Temp: 53°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_214031.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 21:45:06 | Temp: 53°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_214526.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 21:50:06 | Temp: 53°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_215031.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 21:55:06 | Temp: 53°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_215529.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 22:00:14 | Temp: 53°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_220041.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 22:05:05 | Temp: 51°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_220529.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 22:10:05 | Temp: 53°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_221028.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 22:15:05 | Temp: 51°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_221532.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 22:20:05 | Temp: 51°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_222031.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 22:25:05 | Temp: 53°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_222531.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 22:30:06 | Temp: 51°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_223031.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 22:35:05 | Temp: 53°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_223527.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 22:40:05 | Temp: 51°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_224032.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 22:45:05 | Temp: 51°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_224532.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 22:50:05 | Temp: 51°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_225032.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 22:55:05 | Temp: 51°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_225530.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 23:00:05 | Temp: 51°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_230027.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 23:05:05 | Temp: 51°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_230533.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 23:10:06 | Temp: 51°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_231035.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 23:15:05 | Temp: 51°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_231529.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 23:20:05 | Temp: 51°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_232028.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 23:25:05 | Temp: 51°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_232530.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 23:30:05 | Temp: 51°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_233027.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 23:35:05 | Temp: 51°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_233532.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 23:40:06 | Temp: 51°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_234033.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 23:45:06 | Temp: 51°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_234530.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 23:50:05 | Temp: 50°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_235030.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 23:55:06 | Temp: 50°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251102_235529.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 00:00:05 | Temp: 50°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_000031.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 00:05:05 | Temp: 50°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_000533.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 00:10:05 | Temp: 50°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_001029.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 00:15:07 | Temp: 50°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_001528.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 00:20:06 | Temp: 50°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_002031.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 00:25:06 | Temp: 50°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_002534.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 00:30:06 | Temp: 50°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_003030.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 00:35:06 | Temp: 48°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_003528.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 00:40:06 | Temp: 48°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_004031.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 00:45:05 | Temp: 48°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_004530.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 00:50:05 | Temp: 48°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_005026.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 00:55:11 | Temp: 48°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_005534.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 01:00:06 | Temp: 48°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_010033.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 01:05:06 | Temp: 48°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_010527.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 01:10:05 | Temp: 48°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_011032.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 01:15:05 | Temp: 49°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_011529.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 01:20:05 | Temp: 48°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_012029.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 01:25:05 | Temp: 48°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_012530.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 01:30:12 | Temp: 48°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_013037.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
