2025-11-03 00:15:07 | Temp: 49°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_001517.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 00:20:06 | Temp: 48°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_002015.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 00:25:06 | Temp: 48°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_002520.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 00:30:06 | Temp: 48°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_003017.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 00:35:06 | Temp: 48°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_003515.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 00:40:06 | Temp: 48°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_004016.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 00:45:05 | Temp: 48°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_004516.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 00:50:05 | Temp: 48°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_005014.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 00:55:11 | Temp: 48°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_005523.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 01:00:06 | Temp: 48°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_010019.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 01:05:06 | Temp: 48°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_010517.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 01:10:05 | Temp: 48°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_011018.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 01:15:05 | Temp: 46°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_011518.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 01:20:05 | Temp: 46°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_012015.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 01:25:05 | Temp: 46°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_012514.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 01:30:12 | Temp: 46°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_013020.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 01:35:06 | Temp: 46°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_013517.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 01:40:05 | Temp: 46°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_014019.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 01:45:05 | Temp: 46°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_014518.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 01:50:06 | Temp: 46°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_015016.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 01:55:06 | Temp: 46°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_015521.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 02:00:05 | Temp: 46°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_020017.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 02:05:06 | Temp: 46°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_020519.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 02:10:06 | Temp: 46°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_021019.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 02:15:06 | Temp: 46°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_021514.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 02:20:06 | Temp: 46°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_022015.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 02:25:06 | Temp: 46°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_022515.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 02:30:05 | Temp: 45°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_023016.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 02:35:10 | Temp: 44°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_023522.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 02:40:05 | Temp: 44°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_024013.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 02:45:06 | Temp: 44°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_024519.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 02:50:05 | Temp: 44°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_025017.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
