2025-11-02 23:50:05 | Temp: 46°F | Battery: ok | WiFi: 2/5 | Image: tree-front-door_20251102_235021.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-02 23:55:06 | Temp: 46°F | Battery: ok | WiFi: 2/5 | Image: tree-front-door_20251102_235522.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 00:00:05 | Temp: 46°F | Battery: ok | WiFi: 2/5 | Image: tree-front-door_20251103_000024.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 00:05:05 | Temp: 46°F | Battery: ok | WiFi: 2/5 | Image: tree-front-door_20251103_000524.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 00:10:05 | Temp: 44°F | Battery: ok | WiFi: 2/5 | Image: tree-front-door_20251103_001023.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 00:15:07 | Temp: 44°F | Battery: ok | WiFi: 2/5 | Image: tree-front-door_20251103_001523.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 00:20:06 | Temp: 44°F | Battery: ok | WiFi: 2/5 | Image: tree-front-door_20251103_002024.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 00:25:06 | Temp: 44°F | Battery: ok | WiFi: 2/5 | Image: tree-front-door_20251103_002527.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 00:30:06 | Temp: 44°F | Battery: ok | WiFi: 2/5 | Image: tree-front-door_20251103_003024.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 00:35:06 | Temp: 44°F | Battery: ok | WiFi: 2/5 | Image: tree-front-door_20251103_003522.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 00:40:06 | Temp: 44°F | Battery: ok | WiFi: 2/5 | Image: tree-front-door_20251103_004021.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 00:45:05 | Temp: 44°F | Battery: ok | WiFi: 2/5 | Image: tree-front-door_20251103_004522.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 00:50:05 | Temp: 44°F | Battery: ok | WiFi: 2/5 | Image: tree-front-door_20251103_005023.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 00:55:11 | Temp: 44°F | Battery: ok | WiFi: 2/5 | Image: tree-front-door_20251103_005530.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 01:00:06 | Temp: 44°F | Battery: ok | WiFi: 2/5 | Image: tree-front-door_20251103_010025.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 01:05:06 | Temp: 44°F | Battery: ok | WiFi: 2/5 | Image: tree-front-door_20251103_010522.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 01:10:05 | Temp: 44°F | Battery: ok | WiFi: 2/5 | Image: tree-front-door_20251103_011023.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 01:15:05 | Temp: 44°F | Battery: ok | WiFi: 2/5 | Image: tree-front-door_20251103_011523.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 01:20:05 | Temp: 44°F | Battery: ok | WiFi: 2/5 | Image: tree-front-door_20251103_012022.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 01:25:05 | Temp: 44°F | Battery: ok | WiFi: 2/5 | Image: tree-front-door_20251103_012522.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 01:30:12 | Temp: 43°F | Battery: ok | WiFi: 2/5 | Image: tree-front-door_20251103_013028.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 01:35:06 | Temp: 42°F | Battery: ok | WiFi: 2/5 | Image: tree-front-door_20251103_013530.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
